id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,availableBikes,stAddress1,city,postalCode,location
72,W 52 St & 11 Ave,34,39,40.76727216,-73.99392888,In Service,5,W 52 St & 11 Ave,,,
79,Franklin St & W Broadway,3,33,40.71911552,-74.00666661,In Service,30,Franklin St & W Broadway,,,
82,St James Pl & Pearl St,19,26,40.71117416,-74.00016545,In Service,7,St James Pl & Pearl St,,,
83,Atlantic Ave & Fort Greene Pl,49,62,40.68382604,-73.97632328,In Service,13,Atlantic Ave & Fort Greene Pl,,,
116,W 17 St & 8 Ave,8,39,40.74177603,-74.00149746,In Service,31,W 17 St & 8 Ave,,,
119,Park Ave & St Edwards St,12,19,40.69608941,-73.97803415,In Service,7,Park Ave & St Edwards St,,,
120,Lexington Ave & Classon Ave,16,19,40.68676793,-73.95928168,In Service,3,Lexington Ave & Classon Ave,,,
127,Barrow St & Hudson St,18,31,40.73172428,-74.00674436,In Service,13,Barrow St & Hudson St,,,
128,MacDougal St & Prince St,8,30,40.72710258,-74.00297088,In Service,22,MacDougal St & Prince St,,,
137,E 56 St & Madison Ave,26,46,40.761628,-73.972924,In Service,20,E 56 St & Madison Ave,,,
143,Clinton St & Joralemon St,23,24,40.69239502,-73.99337909,In Service,1,Clinton St & Joralemon St,,,
144,Nassau St & Navy St,9,19,40.69839895,-73.98068914,In Service,10,Nassau St & Navy St,,,
146,Hudson St & Reade St,24,39,40.71625008,-74.0091059,In Service,15,Hudson St & Reade St,,,
147,Greenwich St & Warren St,7,33,40.71542197,-74.01121978,In Service,26,Greenwich St & Warren St,,,
150,E 2 St & Avenue C,31,31,40.7208736,-73.98085795,In Service,0,E 2 St & Avenue C,,,
151,Cleveland Pl & Spring St,11,33,40.7218158,-73.99720307,In Service,22,Cleveland Pl & Spring St,,,
152,Warren St & Church St,9,29,40.71473993,-74.00910627,In Service,20,Warren St & Church St,,,
153,E 40 St & 5 Ave,18,55,40.752062307,-73.9816324043,In Service,37,E 40 St & 5 Ave,,,
157,Henry St & Atlantic Ave,11,23,40.69089272,-73.99612349,In Service,12,Henry St & Atlantic Ave,,,
160,E 37 St & Lexington Ave,20,26,40.748238,-73.978311,In Service,6,E 37 St & Lexington Ave,,,
161,LaGuardia Pl & W 3 St,7,35,40.72917025,-73.99810231,In Service,28,LaGuardia Pl & W 3 St,,,
164,E 47 St & 2 Ave,46,47,40.75323098,-73.97032517,In Service,1,E 47 St & 2 Ave,,,
167,E 39 St & 3 Ave,43,45,40.7489006,-73.97604882,In Service,2,E 39 St & 3 Ave,,,
168,W 18 St & 6 Ave,8,47,40.73971301,-73.99456405,In Service,39,W 18 St & 6 Ave,,,
173,Broadway & W 49 St,10,51,40.76064679,-73.98442659,In Service,41,Broadway & W 49 St,,,
174,E 25 St & 1 Ave,30,30,40.7381765,-73.97738662,In Service,0,E 25 St & 1 Ave,,,
