artist_name, tag_name, tag_count_pct
10dens,techno,0.363636
10dens,minimal techno,0.363636
2000 and One,minimal,0.166667
2000 and One,techno,0.22831
2000 and One,minimal techno,0.118721
2000 and One,electronic,0.107306
2562,minimal,0.104247
2562,electronic,0.127413
2562,dubstep,0.3861
3 Channels,minimal,0.235849
3 Channels,techno,0.134434
3 Channels,minimal techno,0.162736
3 Channels,tech house,0.134434
3 Phase,techno,0.254453
3 Phase,tresor,0.19084
A Rocket in Dub,minimal,0.132251
A Rocket in Dub,electronic,0.232019
A Rocket in Dub,dub techno,0.132251
Abdulla Rashim,techno,0.297619
Abdulla Rashim,minimal techno,0.190476
Abdulla Rashim,dub techno,0.202381
Abnormal Boyz,minimal,0.20284
Abnormal Boyz,minimal techno,0.176471
Abnormal Boyz,tech house,0.125761
Abnormal Boyz,under 2000 listeners,0.10142
Accou,techno,0.108108
Accou,minimal techno,0.108108
Accou,minimal dub,0.108108
Acid Circus,minimal,0.108987
Acid Circus,techno,0.108987
Acid Circus,minimal techno,0.191205
Acid Circus,acid techno,0.135755
Actress,techno,0.121118
Actress,electronic,0.145963
Actress,idm,0.152174
Actress,experimental,0.15528
Actress,dubstep,0.102484
ADA,minimal,0.201613
ADA,techno,0.116935
ADA,electronic,0.153226
Adam Beyer,minimal,0.15261
Adam Beyer,techno,0.401606
Adam Beyer,electronic,0.136546
Adam Johnson,minimal,0.102041
Adam Johnson,techno,0.110787
Adam Johnson,electronic,0.16035
Adam Johnson,idm,0.291545
Adam Kroll,minimal,0.238663
Adam Kroll,techno,0.112172
Adam Kroll,minimal techno,0.224344
Adam Kroll,electronic,0.112172
Adam Proll,minimal,0.283286
Adam Proll,techno,0.181303
Adam Proll,minimal techno,0.147309
Adaptive,minimal,0.181818
Adaptive,minimal techno,0.227273
Adaptive,downtempo,0.227273
Adaptive,under 2000 listeners,0.136364
Adrian Carter,electronic,0.130208
Adultnapper,minimal,0.235849
Adultnapper,techno,0.153302
Adultnapper,minimal techno,0.153302
Adultnapper,tech house,0.129717
Advanced Human,techno,0.34965
Advanced Human,minimal techno,0.216783
Advanced Human,electronic,0.129371
Adverb,minimal,0.212766
Adverb,techno,0.106383
Adverb,minimal techno,0.185106
Adverb,idm,0.144681
Afternoon Coffee Boys,minimal,0.244499
Afternoon Coffee Boys,techno,0.244499
Afternoon Coffee Boys,minimal techno,0.215159
Agaric,minimal,0.202429
Agaric,techno,0.188259
Agaric,minimal techno,0.147773
Agoria,minimal,0.169565
Agoria,techno,0.186957
Agoria,electronic,0.217391
Agoria,electro,0.108696
Aguayo/Rossknecht,electronic,0.166667
Aguayo/Rossknecht,Kompakt,0.166667
Aguayo/Rossknecht,Cologne,0.166667
AKA AKA,minimal,0.235294
AKA AKA,techno,0.124706
AKA AKA,minimal techno,0.202353
AKA AKA,tech house,0.131765
Akiko Kiyama,minimal,0.318471
Akiko Kiyama,techno,0.136943
Akiko Kiyama,minimal techno,0.159236
Akiko Kiyama,japanese,0.149682
Akufen,minimal,0.176056
Akufen,electronic,0.126761
Akufen,microhouse,0.160211
Alberto Fracasso,minimal,0.381679
Alberto Fracasso,techno,0.19084
Alec Troniq,minimal,0.115473
Alessio Mereu,minimal,0.243902
Alessio Mereu,techno,0.170732
Alessio Mereu,minimal techno,0.109756
Alessio Mereu,electronic,0.134146
Alex Bau,minimal,0.202091
Alex Bau,techno,0.348432
Alex Bau,electronic,0.135889
Alex Di Stefano,minimal,0.205882
Alex Di Stefano,techno,0.169118
Alex Di Stefano,minimal techno,0.245098
Alex Di Stefano,tech house,0.129902
Alex Medina,minimal,0.259067
Alex Medina,techno,0.11399
Alex Medina,minimal techno,0.142487
Alex Medina,All,0.11399
Alex Niggemann,minimal,0.215983
Alex Niggemann,minimal techno,0.151188
Alex Niggemann,electronic,0.12527
Alex Niggemann,tech house,0.151188
Alex Smoke,minimal,0.283286
Alex Smoke,techno,0.167139
Alex Smoke,minimal techno,0.17847
Alex Smoke,electronic,0.155807
Alex Under,minimal,0.288184
Alex Under,techno,0.201729
Alex Under,minimal techno,0.15562
Alex Under,electronic,0.126801
Alexander Kowalski,minimal,0.137313
Alexander Kowalski,techno,0.298507
Alexander Kowalski,electronic,0.161194
Alexey Volkov,techno,0.2
Alexey Volkov,minimal techno,0.2
Alexey Volkov,experimental,0.1
Alexey Volkov,industrial,0.1
Alexi Delano,techno,0.228833
Alexi Delano,minimal techno,0.176201
Alexi Delano & Xpansul,minimal,0.129921
Alexi Delano & Xpansul,minimal techno,0.393701
Alle Farben,minimal,0.224719
Alle Farben,minimal techno,0.186517
Alle Farben,electronic,0.224719
Alta Infidelidad,minimal techno,0.117355
Alta Infidelidad,electronic,0.165289
Ambivalent,minimal,0.276243
Ambivalent,techno,0.165746
Ambivalent,minimal techno,0.198895
Ambivalent,electronic,0.104972
Âme,minimal,0.201613
Âme,electronic,0.114919
Âme,House,0.149194
Âme,deep house,0.165323
Amir Ad Fontes,minimal,0.252525
Amir Ad Fontes,minimal techno,0.209596
Amir Ad Fontes,tech house,0.166667
And.id,minimal,0.198807
And.id,techno,0.10338
And.id,minimal techno,0.163022
And.id,tech house,0.17495
Anders Ilar,minimal,0.242718
Anders Ilar,minimal techno,0.143204
Anders Ilar,electronic,0.131068
Anders Ilar,ambient,0.160194
Andhim,minimal,0.194175
Andhim,electronic,0.135922
Andhim,tech house,0.165049
Andomat 3000,minimal,0.232558
Andomat 3000,techno,0.104651
Andomat 3000,minimal techno,0.174419
Andomat 3000,tech house,0.116279
Andomat 3000 & Jan,minimal,0.232472
Andomat 3000 & Jan,techno,0.132841
Andomat 3000 & Jan,minimal techno,0.369004
Andre Crom,minimal,0.225734
Andre Crom,minimal techno,0.137698
Andre Crom,tech house,0.160271
Andrea Bertolini,minimal,0.133511
Andrea Bertolini,minimal techno,0.101469
Andrea Bertolini,electronic,0.11749
Andrea Bertolini,electro,0.125501
Andrea Bertolini,House,0.11749
Andrea Roma,minimal,0.310559
Andrea Roma,techno,0.232919
Andrea Roma,minimal techno,0.257764
Andreas Henneberg,minimal,0.211864
Andreas Henneberg,techno,0.120763
Andreas Henneberg,minimal techno,0.180085
Andy Stott,minimal,0.119522
Andy Stott,techno,0.169323
Andy Stott,minimal techno,0.129482
Andy Stott,dub techno,0.199203
Andy Vaz,minimal,0.106061
Andy Vaz,minimal techno,0.151515
Andy Vaz,electronic,0.106061
Animal Collective,experimental,0.251256
Animal Collective,indie,0.168342
Animal Collective,freak folk,0.130653
Animal Trainer,minimal,0.2
Animal Trainer,techno,0.15
Animal Trainer,minimal techno,0.1
Animal Trainer,tech house,0.2
Animal Trainer,homegrown electro,0.1
Anja Schneider,minimal,0.28169
Anja Schneider,techno,0.140845
Anja Schneider,minimal techno,0.177465
Anja Schneider,electronic,0.112676
Anja Schneider & Sebo K,minimal,0.28169
Anja Schneider & Sebo K,techno,0.140845
Anja Schneider & Sebo K,minimal house,0.112676
Anna,minimal,0.222222
Anna,techno,0.144444
Anna,minimal techno,0.2
Ante Perry,minimal,0.276243
Ante Perry,electronic,0.143646
Ante Perry,House,0.129834
Anthony Collins,minimal,0.277778
Anthony Collins,techno,0.133333
Anthony Collins,minimal techno,0.111111
Anthony Rother,minimal,0.120401
Anthony Rother,techno,0.150502
Anthony Rother,electronic,0.177258
Anthony Rother,electro,0.334448
Antiguo Autómata Mexicano,minimal,0.110372
Antiguo Autómata Mexicano,minimal techno,0.132979
Antiguo Autómata Mexicano,electronic,0.110372
Antislash,minimal,0.138075
Antislash,techno,0.209205
Antislash,minimal techno,0.17364
Antislash,circus company,0.138075
Anton Kubikov,minimal,0.240964
Anton Kubikov,techno,0.127711
Anton Kubikov,minimal techno,0.101205
Anton Kubikov,electronic,0.154217
Anton Pieete,minimal,0.214133
Anton Pieete,techno,0.137045
Anton Pieete,minimal techno,0.152034
Anton Pieete,tech house,0.182013
Apoll,minimal techno,0.148148
Apoll,electronic,0.111111
Apoll,idm,0.111111
Apoll,tech house,0.111111
Applescal,minimal,0.167224
Applescal,techno,0.130435
Applescal,electronic,0.135452
Arandel,techno,0.143062
Arandel,deep techno,0.120172
Argy,minimal,0.224719
Argy,techno,0.116854
Argy,electronic,0.121348
Aril Brikha,minimal,0.125333
Aril Brikha,techno,0.266667
Aril Brikha,detroit techno,0.125333
Aril Brikha,deep techno,0.109333
Arul,minimal techno,0.555556
Asem Shama,minimal,0.294118
Asem Shama,techno,0.147059
Asem Shama,minimal techno,0.147059
Asem Shama,tech house,0.117647
Auch,minimal,0.160772
Auch,electronic,0.122186
Auch,ambient,0.110932
audiodump,minimal,0.238663
audiodump,minimal techno,0.210024
audiodump,experimental,0.157518
audiodump,deep techno,0.105012
Audiofly X,minimal,0.253165
Audiofly X,techno,0.205063
Audiofly X,minimal techno,0.164557
Audiofly X,electronic,0.118987
Audiojack,minimal,0.225225
Audiojack,techno,0.171171
Audiojack,electronic,0.117117
Audiojack,House,0.117117
Audion,minimal,0.25641
Audion,techno,0.2
Audion,minimal techno,0.189744
Audion,electronic,0.128205
audiossey,minimal,0.117429
audiossey,electronic,0.123609
Audision,minimal,0.218818
Audision,minimal techno,0.109409
Austin Cesear,techno,0.25
Austin Cesear,minimal techno,0.125
Austin Cesear,ambient,0.15
Austin Cesear,dub techno,0.25
Autistic,minimal,0.25
Autistic,techno,0.17
Autistic,minimal techno,0.23
Avatism,minimal techno,0.192678
Avatism,electronic,0.148362
Avatism,House,0.169557
Avatism,tech house,0.105973
Avatism,deep house,0.192678
Avus,techno,0.21645
Avus,electronic,0.132035
Avus,Progressive House,0.108225
Avus,Border Community,0.164502
Axel Bartsch,minimal,0.228833
Axel Bartsch,techno,0.194508
Axel Bartsch,minimal techno,0.194508
